,Date,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
259,2022-08-07,23296.36,23647.68,22400.0,23174.39,951140.43388,21943150279.731617,32042944
260,2022-08-14,23174.39,25047.56,22664.69,24305.24,1251083.26468,30077619286.84657,43311786
261,2022-08-21,24305.25,25211.32,20761.9,21515.61,1402957.39876,32016009263.434933,46017032
262,2022-08-28,21516.7,21900.0,19520.0,19555.61,1343190.86,28273617081.520325,41486274
263,2022-09-04,19555.61,20576.25,19540.0,20000.3,1527594.84529,30597230623.489513,38080138
264,2022-09-11,20000.3,21860.0,18510.77,21826.87,2146685.76233,43460053550.45977,41587411
265,2022-09-18,21826.87,22799.0,19320.01,19416.18,2218565.59694,45784151832.43754,41728131
266,2022-09-25,19417.45,19956.0,18125.98,18807.38,2285541.48793,43488049829.07041,39408640
267,2022-10-02,18809.13,20385.86,18471.28,19056.8,2777070.91238,53761170640.89073,39023576
268,2022-10-09,19057.74,20475.0,18959.68,19439.02,1690215.44019,33498469288.87016,28764711
269,2022-10-16,19439.96,19951.87,18190.0,19262.98,1666942.47921,31973285240.12004,34431421
270,2022-10-23,19262.98,19706.66,18650.0,19570.4,1439566.24878,27726087449.710506,33194461
271,2022-10-30,19570.4,21085.0,19157.0,20627.48,2026392.42105,41163103270.30045,46965717
272,2022-11-06,20627.48,21480.65,20031.24,20905.58,2205754.8304500002,45589276905.342834,47012044
273,2022-11-13,20905.58,21069.77,15588.0,16329.85,3234391.873932,58481935198.61975,69529948
274,2022-11-20,16331.78,17190.0,15815.21,16280.23,1626234.48043,27077469872.70158,40879146
275,2022-11-27,16279.5,16812.63,15476.0,16428.78,1561058.479583,25506770070.360386,36585251
276,2022-12-04,16428.77,17324.0,15995.27,17105.7,1572173.55626,26360161543.308468,33957294
277,2022-12-11,17106.65,17424.25,16678.83,17085.05,1443791.97519,24639487914.908703,28935324
278,2022-12-18,17085.05,18387.95,16527.32,16738.21,1511897.62621,26143428661.14803,34216989
279,2022-12-25,16739.0,17061.27,16256.3,16832.11,1148035.81471,19261867584.5081,30890062
280,2023-01-01,16832.11,16972.83,16333.0,16616.75,1028681.78419,17128649384.378353,29855688
281,2023-01-08,16617.17,17176.99,16548.7,17127.83,1112349.61417,18710795015.112286,32938345
282,2023-01-15,17127.83,21258.0,17104.66,20871.5,2145455.73458,40310160794.01672,48190928
283,2023-01-22,20872.99,23371.8,20407.15,22707.88,2108890.06922,45622643727.577324,48516459
284,2023-01-29,22706.02,23960.54,22300.0,23742.3,1946352.796,44778423206.51019,48187520
285,2023-02-05,23743.37,24255.0,22500.0,22932.91,1949971.72168,45526556536.272514,50318314
286,2023-02-12,22932.91,23452.0,21451.0,21783.54,1976378.51282,44353818613.73314,48694515
287,2023-02-19,21782.37,25250.0,21351.07,24271.76,2497565.47508,58739519125.7017,58393471
288,2023-02-26,24272.51,25250.0,22722.0,23554.85,2237983.72753,53750017281.893585,73475940
289,2023-03-05,23554.85,24000.0,21971.13,22430.24,1698503.29143,39224677036.713524,55369117
290,2023-03-12,22430.24,22602.19,19549.09,21997.11,2718623.72856,57109899451.5641,64620831
291,2023-03-19,21998.05,28390.1,21813.88,27972.87,3775888.94983,95305973200.80875,85715723
